,Unnamed: 0,CASENUM,non_motorist,CASENUM_VEH_NO,distraction,region,weight,person involved,age,sex,alcohol,dow,hr,interstate hwy,population class,collision,injury,min,month,specific location,relation to road,intersection type,work zone,year,speed,speed limit,crash type,make,lanes,vehicle occupants,area of impact,distracted_binary
3275,3275,201011173634.0,0,201011173634.01.0,0.0,1.0,13.047,1.0,15_24,F,96.0,7.0,late_night,0.0,3.0,angle,non_incap,48.0,6.0,2.0,roadway,1.0,0.0,2010.0,998.0,35_45,69.0,30.0,5.0,2,32.0,0
3276,3276,201011173634.0,0,201011173634.02.0,97.0,1.0,13.047,1.0,15_24,M,96.0,7.0,late_night,0.0,3.0,angle,non_incap,48.0,6.0,2.0,roadway,1.0,0.0,2010.0,998.0,35_45,68.0,24.0,5.0,3,32.0,1
3277,3277,201011173635.0,0,201011173635.01.0,0.0,1.0,300.07,1.0,25_34,M,96.0,7.0,morning_rush,0.0,3.0,angle,none,14.0,6.0,2.0,roadway,1.0,0.0,2010.0,998.0,45_55,69.0,35.0,2.0,1,32.0,0
3278,3278,201011173635.0,0,201011173635.02.0,0.0,1.0,300.07,1.0,35_44,M,96.0,7.0,morning_rush,0.0,3.0,angle,none,14.0,6.0,2.0,roadway,1.0,0.0,2010.0,998.0,45_55,68.0,20.0,2.0,1,32.0,0
3279,3279,201011173665.0,0,201011173665.01.0,0.0,1.0,300.07,1.0,25_34,M,96.0,6.0,late_night,0.0,3.0,not_motor_vehicle,none,30.0,6.0,3.0,roadside,2.0,0.0,2010.0,998.0,45_55,1.0,58.0,3.0,1,55.0,0
3280,3280,201011173682.0,0,201011173682.01.0,0.0,1.0,130.465,1.0,45_64,M,96.0,3.0,morning_rush,0.0,3.0,rear_end,none,8.0,6.0,1.0,roadway,0.0,0.0,2010.0,0.0,25_35,21.0,49.0,4.0,1,26.0,0
3281,3281,201011173682.0,0,201011173682.02.0,1.0,1.0,130.465,1.0,45_64,F,96.0,3.0,morning_rush,0.0,3.0,rear_end,none,8.0,6.0,1.0,roadway,0.0,0.0,2010.0,998.0,25_35,20.0,12.0,4.0,1,26.0,1
3282,3282,201011173697.0,0,201011173697.01.0,0.0,1.0,300.07,1.0,15_24,F,96.0,2.0,morning_rush,0.0,3.0,rear_end,none,59.0,6.0,3.0,roadway,2.0,0.0,2010.0,998.0,15_25,92.0,12.0,2.0,1,26.0,0
3283,3283,201011173697.0,0,201011173697.02.0,0.0,1.0,300.07,1.0,45_64,M,96.0,2.0,morning_rush,0.0,3.0,rear_end,none,59.0,6.0,3.0,roadway,2.0,0.0,2010.0,998.0,35_45,93.0,87.0,3.0,1,26.0,0
3284,3284,201011173699.0,0,201011173699.01.0,0.0,1.0,52.18600000000001,1.0,25_34,M,96.0,2.0,afternoon,0.0,3.0,rear_end,possible,14.0,6.0,1.0,roadway,0.0,0.0,2010.0,0.0,45_55,21.0,59.0,2.0,2,26.0,0
3285,3285,201011173699.0,0,201011173699.02.0,12.0,1.0,52.18600000000001,1.0,35_44,M,96.0,2.0,afternoon,0.0,3.0,rear_end,possible,14.0,6.0,1.0,roadway,0.0,0.0,2010.0,998.0,45_55,20.0,35.0,2.0,1,26.0,1
3286,3286,201011173704.0,0,201011173704.01.0,0.0,1.0,13.047,1.0,15_24,M,96.0,2.0,late_night,0.0,2.0,not_motor_vehicle,incap,58.0,6.0,1.0,roadside,0.0,0.0,2010.0,998.0,35_45,3.0,20.0,2.0,1,55.0,0
3287,3287,201011173709.0,0,201011173709.01.0,0.0,1.0,130.465,1.0,45_64,F,96.0,5.0,afternoon,0.0,2.0,head_on,none,17.0,6.0,3.0,roadway,2.0,0.0,2010.0,0.0,15_25,83.0,35.0,2.0,1,32.0,0
3288,3288,201011173709.0,0,201011173709.02.0,1.0,1.0,130.465,1.0,35_44,F,96.0,5.0,afternoon,0.0,2.0,head_on,none,17.0,6.0,3.0,roadway,2.0,0.0,2010.0,998.0,35_45,82.0,48.0,8.0,1,32.0,1
3289,3289,201011173727.0,0,201011173727.01.0,0.0,1.0,13.047,1.0,15_24,M,96.0,5.0,afternoon_rush,0.0,2.0,angle,incap,22.0,6.0,2.0,roadway,1.0,0.0,2010.0,998.0,N/R,69.0,73.0,4.0,1,27.0,0
3290,3290,201011173727.0,0,201011173727.02.0,1.0,1.0,13.047,1.0,35_44,F,96.0,5.0,afternoon_rush,0.0,2.0,angle,incap,22.0,6.0,2.0,roadway,1.0,0.0,2010.0,998.0,45_55,68.0,12.0,3.0,1,27.0,1
3291,3291,201011173744.0,0,201011173744.01.0,0.0,1.0,300.07,1.0,15_24,F,96.0,3.0,afternoon,0.0,2.0,angle,none,34.0,6.0,2.0,roadway,1.0,0.0,2010.0,998.0,N/R,74.0,2.0,2.0,1,30.0,0
3292,3292,201011173744.0,0,201011173744.02.0,97.0,1.0,300.07,1.0,45_64,F,96.0,3.0,afternoon,0.0,2.0,angle,none,34.0,6.0,2.0,roadway,1.0,0.0,2010.0,998.0,N/R,74.0,7.0,2.0,1,30.0,1
3293,3293,201011173751.0,0,201011173751.01.0,98.0,1.0,130.465,1.0,25_34,F,96.0,4.0,afternoon,0.0,2.0,rear_end,possible,44.0,6.0,3.0,roadway,2.0,0.0,2010.0,998.0,35_45,20.0,48.0,1.0,1,32.0,1
3294,3294,201011173751.0,0,201011173751.02.0,0.0,1.0,130.465,1.0,over_65,F,96.0,4.0,afternoon,0.0,2.0,rear_end,possible,44.0,6.0,3.0,roadway,2.0,0.0,2010.0,0.0,35_45,22.0,7.0,1.0,1,32.0,0
